english,reference_odia,greedy_prediction_odia
The train was heading towards Mumbai.,ଏହି ଟ୍ରେନ୍ଟି ମୁମ୍ବାଇରୁ ଭୁବନେଶ୍ୱର ଅଭିମୁଖେ ଆସୁଥିଲା।,ମୁମ୍ବାଇ: ମୁମ୍ବାଇ ଇଣ୍ଡିଆନ୍ସ ଓ ମୁମ୍ବାଇ ହୋଇଥିଲା।
"Hon'ble Speaker, Terrorism is a very big challenge of our times.","ଅଧ୍ୟକ୍ଷ ମହୋଦୟ, ଆତଙ୍କବାଦ ହେଉଛି ବର୍ତମାନ ଆମ ସମୟର ଏକ ବଡ଼ ଆହ୍ୱାନ ।",ଆମ ଦେଶରେ ଏକ ବଡ଼ ଭୂମିକା ରହିଛି ।
Two other accused are friends of her fianc.,ଅନ୍ୟ ଦୁଇ ଅଭିଯୁକ୍ତ ତାଙ୍କ ବନ୍ଧୁ।,ଅନ୍ୟ ଦୁଇ ଜଣ ଅଭିଯୁକ୍ତ ତାଙ୍କ ପତ୍ନୀଙ୍କୁ ଗିରଫ କରାଯାଇଛି।
"She has received several literary awards including the Katha award, Odisha Sahitya Akademi award and Odisha Book Fair award.","ସାହିତ୍ୟ କ୍ଷେତ୍ରରେ ଅବଦାନ ପାଇଁ ତାଙ୍କୁ କେନ୍ଦ୍ର ସାହିତ୍ୟ ଏକାଡେମୀ, ଓଡିଶା ସାହିତ୍ୟ ଏକାଡେମୀ, ସାରଳା ଆଦି ଅନେକ ପୁରସ୍କାରରେ ସମ୍ମାନିତ କରାଯାଇଛି ।",ସେ ପଞ୍ଜାବରେ ଆୟୋଜିତ କାର୍ଯ୍ୟକ୍ରମରେ ଯୋଗ ଦେଇଥିଲେ ଏବଂ ଓଡ଼ିଶା ଓ ଓଡ଼ିଶା ହାଇକୋର୍ଟର ମୁଖ୍ୟ ଅତିଥି ଭାବେ ଯୋଗ ଦେଇଥିଲେ।
Mehbooba Mufti submitted her resignation after the BJP withdrew support.,ଏବେ ବିଜେପି ସମର୍ଥନ ପ୍ରତ୍ୟାହାର ପରେ ଇସ୍ତଫା ଦେଇଛନ୍ତି ମୁଖ୍ୟମନ୍ତ୍ରୀ ମେହବୁବା ମୁଫ୍ତି ।,ବିଜେପି ତାଙ୍କ ସହ ମିଶି ସମର୍ଥନ କରି ବିଜେପି ଓ ବିଜେପି ସମର୍ଥନ କରି ଦେଇଛନ୍ତି।
The police fired tear gas shells on protesters.,ବିକ୍ଷୋଭକାରୀ ପୁଲିସ ଉପରକୁ ଢ଼େଲାପଥର ଫିଙ୍ଗିବାରେ ପୁଲିସ ଲାଠିଚାଳନା ସହ ଲୁହବୁହା ବାଷ୍ପ ପ୍ରୟୋଗ କରିଛି।,ପୁଲିସ ପକ୍ଷରୁ ସୂଚନା ଦିଆଯାଇଛି।
He added that he is of the view that 1.25 billion Indians should have 1.25 billion aspirations.,ସେ କହିଥିଲେ ଯେ ତାଙ୍କର ଚିନ୍ତାଧାରା ହେଉଛି 125 କୋଟି ଭାରତୀୟଙ୍କର 125 କୋଟି ଆଶା ରହିବା ଆବଶ୍ୟକ ।,"ସେ କହିଥିଲେ ଯେ, “ଆପଣର ଏକ ବଡ଼ ଭୂମିକା ରହିଛି ।"
The festival was celebrated with great fervour.,ଆବାଳବୃଦ୍ଧବନିତା ଏହି ପର୍ବକୁ ଆନନ୍ଦ ଉଲ୍ଲାସରେ ପାଳନ କରିଥିଲେ।,ଏହି ଅବସରରେ ଜନ୍ମ ହୋଇଥିଲା।
You dont get proper sleep.,ନିଦ ଠିକ୍ ଭାବେ ହୋଇନଥାଏ।,ଆପଣ ଟଙ୍କା ଖର୍ଚ୍ଚ କରନ୍ତୁ ନାହିଁ।
"The players are Deep Grace Ekka, Sunita Lakra, Rashmita Minz and Lilima Minz.","ସେମାନେ ହେଲେ ଦୀପଗ୍ରେସ୍ ଏକ୍କା, ଲିଲିମା ମିଞ୍ଜ, ସୁନୀତା ଲାକ୍ରା ଏବଂ ରସ୍ମିତା ମିଞ୍ଜ ।","ଏହି ଫିଲ୍ମରେ ଗୋଲ୍, କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ. କେ."
You will get full support from your partner in business.,ବ୍ୟବସାୟରେ ସହଯୋଗୀମାନଙ୍କର ସମ୍ପୂର୍ଣ୍ଣ ସହଯୋଗ ମିଳିବ।,ବ୍ୟବସାୟରୁ ଆପଣଙ୍କୁ ଲାଭ ମିଳିବ।
India-China faceoff: Army confirms disengagement at Galwan. 20 soldiers martyred in action,"ଲଦାଖ ଗାଲୱାନ ଭ୍ୟାଲିରେ ଭାରତ-ଚୀନ୍ ସେନା ମୁହାଁମୁହିଁ ଘଟଣା. ଅତିକମ୍ରେ ୨୦ ଭାରତୀୟ ଯବାନ ସହିଦ ହୋଇଥିବା ସୂଚନା,…",ଭାରତୀୟ ସେନା-ପାକିସ୍ତାନ ମଧ୍ୟରେ ଭାରତ-ପାକିସ୍ତାନ ମଧ୍ୟରେ ଏକ ବଡ଼ ଆଡେଟ୍ ଅଫ୍ ଇଣ୍ଡିଆକୁଆଲ୍କରେ ଭାରତ-ଇ-ଆଲ୍ରେନ୍ୟାଲିଂ ଅପରେସନ ଜାରି ରହିଛି।
Police have seized two mobile phones from him.,ସେହି ମୋବାଇଲ ଲୁଟେରାମାନଙ୍କ ମଧ୍ୟରୁ ଦୁଇ ଜଣଙ୍କୁ ପୋଲିସ ଗିରଫ କରିଛି ।,ପୁଲିସ ଦୁଇ ଜଣ ଜବତ କରିଛି।
Creating LUKS Device,LUKS ଉପକରଣ ନିର୍ମାଣ କରୁଅଛି, ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S
"At last, the family of the deceased brought back the body to their house.",ଶେଷରେ ପରିବାର ଲୋକେ ମୃତ ଶିଶୁକୁ ଶବ ଗୃହରେ ଛାଡ଼ି ଘରକୁ ଯାଇଥିଲେ।,ମୃତ ବ୍ୟକ୍ତିଙ୍କ ପରିବାର ଲୋକଙ୍କୁ ହସ୍ତାନ୍ତର କରିଛନ୍ତି।
There was no rain.,ବର୍ଷା ହୋଇ ନଥିଲା କି ଖରା ବି ହୋଇ ନଥିଲା।,ବର୍ଷା କିଛି ନାହିଁ।
"This will empower the poor, neo-middle class, middle class & benefit future generations, the Prime Minister said.","ଏହା ଗରିବ ନବ୍ୟ-ମଧ୍ୟବିତ୍ତ, ମଧ୍ୟବିତ୍ତ ଏବଂ ଆଗାମୀ ପିଢୀକୁ ସବୁ ଦୃଷ୍ଟିରୁ ସଶକ୍ତ କରିବ’’, ବୋଲି ପ୍ରଧାନମନ୍ତ୍ରୀ ତାଙ୍କ ଟ୍ୱିଟର ପୃଷ୍ଠାରେ କହିଛନ୍ତି ।","ଏହି ଅବସରରେ ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଥିଲେ ଯେ, ଗରିବ ଲୋକଙ୍କ ଜୀବନଧାରଣୀ, ଗରିବ ଲୋକଙ୍କ ଜୀବନଧାରଣୀ, ଗରିବ ଲୋକଙ୍କ ଜୀବନଧାରଣ ଓ କୃଷକମାନଙ୍କ ପାଇଁ ପ୍ରୟାସରେ ଭବିଷ୍ୟତ ପାଇଁ ପ୍ରୟାସରେ ସାମିଲ ହେବ ।"
"Friends, You are very well aware that the government has granted more autonomy to Indian Institute of Management (IIMs) by enacting a law.","ସାଥୀଗଣ, ଆପଣ ସମସ୍ତେ ଭଲ ଭାବେ ଜାଣନ୍ତି କି ସରକାର ଭାରତୀୟ ପ୍ରବନ୍ଧନ ପ୍ରତିଷ୍ଠାନ (ଆଇଆଇଏମ୍)କୁ ଆଇନ ମାଧ୍ୟମରେ ଅଧିକ ସ୍ୱୟତ୍ତତା ଦେଉଛନ୍ତି ।","ସାଥୀଗଣ, ଭାରତୀୟ ରେଳବାଇର ଏକ ବଡ଼ ପଦକ୍ଷେପ ଗ୍ରହଣ କରିବା ପାଇଁ ସରକାର ।"
The Congress won in a landslide in Chhattisgarh and also formed the government in Madhya Pradesh and Rajasthan.,"ମଧ୍ୟପ୍ରଦେଶ, ରାଜସ୍ଥାନ ,ଛତିଶଗଡ଼ରେ କଂଗ୍ରେସକୁ ବହୁମତ ମିଳଛି ଏବଂ ସେହି ରାଜ୍ୟରେ କଂଗ୍ରେସ ସରକାର ଗଠନ କରିବା ମଧ୍ୟ ଗୋଟେ ପ୍ରକାର ନିଶ୍ଚିତ ହୋଇଛି।",ରାଜସ୍ଥାନ ସରକାର ଓ ମଧ୍ୟପ୍ରଦେଶରେ କଂଗ୍ରେସ ଓ ମଧ୍ୟପ୍ରଦେଶରେ କଂଗ୍ରେସ ଓ ମଧ୍ୟପ୍ରଦେଶରେ କଂଗ୍ରେସ ଓ ମଧ୍ୟପ୍ରଦେଶରେ କଂଗ୍ରେସ ମଧ୍ୟ ସାମିଲ ହୋଇଥିଲେ।
"Shri Goyal said that despite many challenges, India has been a dependable and affordable source of efficacious and high quality medical and pharma products to nearly 190 countries around the world.","ସେ କହିଛନ୍ତି ଯେ ଅନେକ ଆହ୍ୱାନ ସତ୍ୱେ ଭାରତ ଏବେ ବିଶ୍ୱର 190ଟି ଦେଶକୁ ଉଚ୍ଚମାନର ଔଷଧପତ୍ର, ସାମଗ୍ରୀ ଓ ଚିକିତ୍ସା ଉପକରଣ ସୁଲଭ ମୂଲ୍ୟରେ ଯୋଗାଇ ଦେବାକୁ ସମର୍ଥ ।","ଶ୍ରୀ ପ୍ରଧାନ କହିଲେ ଯେ, “ଆମ୍ୟ୍ୟାୟ, “ଆମ, “ଆମ, “ଆମ, “ଆମ, “ଆମ, “ଆମ, ଭାରତ ଏବଂ ଦେଶର ବିଭିନ୍ନ କ୍ଷେତ୍ରରେ ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଭୂମିକାର ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଭୂମିକା ରହିଛି ।"
"The Prime Minister, Defence Minister Rajnath Singh, Leader of Opposition in the Rajya Sabha Ghulam Nabi Azad, Congress lawmakers Adhir Ranjan Choudhary, K Suresh, National Conference leader Farooq Abdullah and TMC leader Derek OBrien were present at the meeting.","ବୈଠକରେ ପ୍ରତିରକ୍ଷା ମନ୍ତ୍ରୀ ରାଜନାଥ ସିଂହ, ଟିଏମସି ନେତା ଡେରେକ୍ ଓବ୍ରେନ, କଂଗ୍ରେସ ନେତା ଗୁଲାମନବୀ ଆଜାଦ, ଏନସିପି ନେତା ସୁପ୍ରିୟା ସୁଲେ, ନ୍ୟାସନାଲ କନଫରେନ୍ସ ନେତା ଫାରୁକ୍ ଅବଦୁଲ୍ଲା, ବରିଷ୍ଠ କଂଗ୍ରେସ ନେତା ଆନନ୍ଦ ଶର୍ମାଙ୍କ ସମେତ ଅନୁପ୍ରିୟା ପଟେଲ, ଅଧିରଂଜନ ଚୌଧୁରୀ, ରାମଗୋପାଳ ଯାଦବ, ଡି. ରାଜା. ସଂଜୟ ସିଂହ, ଟିଆର୍.","ଏହି ବୈଠକରେ ପ୍ରତିରକ୍ଷା ମନ୍ତ୍ରୀ ରାଜନାଥ ସିଂହ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ, ପୂର୍ବତନ ପ୍ରଧାନମନ୍ତ୍ରୀ ମନମୋହନ ସିଂହ, ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା ତଥା ବରିଷ୍ଠ ନେତା"
"PADC will work closely in application and developments of polymers in collaboration with other reputed research institutes such as ICT, Bhubaneswar, CIPET and NCL, Pune.","ପଲିମରକୁ ବଢ଼ାଇବା ପାଇଁ ପିଏଡିସି ଅନ୍ୟାନ୍ୟ ପ୍ରତିଷ୍ଠିତ ଗବେଷଣା କେନ୍ଦ୍ର ଯଥା ଆଇସିଟି ଭୁବନେଶ୍ଵର, ସିପେଟ, ଏନ୍ସିଏଲ ପୁଣେ ସହ କାର୍ଯ୍ୟ କରିବ।","ଏହି ଯୋଜନା, ଭୁବନେଶ୍ୱର-ବିର ମୁଖ୍ୟ ଶାସନ, ଭୁବନେଶ୍ୱର ଓ ଅନ୍ୟାନ୍ୟ କାର୍ଯ୍ୟ ଓ ଅନ୍ୟାନ୍ୟ କାର୍ଯ୍ୟ ଜାରି ରହିବ ।"
Copy the selection,ଏହି ଅଂଶକୁ ନକଲ କରନ୍ତୁ,କ’ଣ କରନ୍ତୁ
This will generate employment.,ଏହାଦ୍ୱାରା ଶ୍ରମିକ କର୍ମନିଯୁକ୍ତି ପାଇବେ।,ଏହା ଦ୍ୱାରା ଏହା ହେବ।
"The Congress won three Hindi-heartland states of Madhya Pradesh, Chhattisgarh and Rajasthan, where BJP was in power.","ଏଥିରେ ତିନିଟି ରାଜ୍ୟ ରାଜସ୍ଥାନ, ମଧ୍ୟପ୍ରଦେଶ ଓ ଛତିଶଗଡ଼ରେ କଂଗ୍ରେସ ସତ୍ତାରେ ରହିଥିଲା।","ରାଜସ୍ଥାନ କଂଗ୍ରେସ, ରାଜସ୍ଥାନ ଓ ରାଜସ୍ଥାନ ବିଜେପି ଓ ମଧ୍ୟପ୍ରଦେଶରେ କଂଗ୍ରେସ-ଏଏସ୍ଏଆଇଏସ୍ଏଆଇଏମ୍ଏସ୍ଏଆଇଏମ୍ଏସ୍ଏଆଇଏମ୍ଡିସିଏସଆଇଏମ୍ଡିସିଏସଆଇଏମ୍ଡିସିଏସଆଇଏମ୍ଡିସିଏସଆଇଏମ୍ଡିସିଏସଆଇଏମ୍ଡିସିଏସଆଇଏମ୍ଡିସିଏସଆଇଏମ୍ଡିସିଏସଆଇଏମ୍ଡିସିଏସଆଇଏମ୍ଡିସିଛି।"
"He said that from political leaders to the common man, everyone was imbued with this spirit.","ସେ କହିଥିଲେ ଯେ ରାଜନେତାଙ୍କ ଠାରୁ ଆରମ୍ଭ କରି ସାଧାରଣ ଜନତା, ପ୍ରତ୍ୟେକ ଲୋକ ଏହି ଉତ୍ସାହରେ ପୂରି ଉଠିଥିଲେ ।","ସେ କହିଥିଲେ ଯେ, “ଆମୀଙ୍କ ସହିତ ରାଜନୈତିକ ଦଳ ନେତାମାନଙ୍କ ସହିତ ଯୋଡ଼ିବା ପାଇଁ ସେ କହିଥିଲେ ଯେ, “ଆଲାଇବା ପାଇଁ ସମସ୍ତ ରାଜନୈତିକ ଦଳ ନେତାମାନଙ୍କ ସହିତ ଆଲୋଚନା କରିଥିଲେ ।"
Boil neem leaves in water.,ଏଥିପାଇଁ ଆମ୍ବ ପତ୍ରକୁ ପାଣିରେ ଫୁଟାଇ ଦିଅନ୍ତୁ।,ପାଣି ପିଅନ୍ତୁ।
Action is being taken accordingly.,ସେହି ଅନୁଯାୟୀ ବିଭାଗ ପକ୍ଷରୁ ପଦକ୍ଷେପ ନିଆଯାଉଛି।,କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଗ୍ରହଣ କରାଯାଇଛି।
Complaint against wife,ପତ୍ନୀଙ୍କ ବିରୋଧରେ ଅଭିଯୋଗ :,ପତ୍ନୀ ବିରୋଧରେ ହତ୍ୟା
Low or zero tax rate is given to certain types of financial income.,କେତେ ପ୍ରକାରର ଆର୍ଥିକ ଆୟ କ୍ଷେତ୍ରରେ କମ୍ କିମ୍ବା ଶୂନ୍ୟ ଦରରେ ଟିକସ ଦେବାକୁ ପଡିଥାଏ ।,"ଆର୍ଥିକ ସେବା କ୍ଷେତ୍ରରେ ଆର୍ଥିକ ସହାୟତା ଯୋଗାଇ ଦିଆଯିବ, ଆର୍ଥିକ ସହାୟତା ଯୋଗାଇ ଦିଆଯିବ ।"
But I had full belief in the subject.,କିନ୍ତୁ ମତେ ମୋର ଆବାଜ୍ରେ ପୂରା ଭରସା ଥିଲା।,କିନ୍ତୁ ମୁଁ ବି ଏହା ଉପରେ ବିଶ୍ୱାସ କରେ ।
"Meanwhile, she delivered a stillborn baby.",ଏହି ସମୟରେ ସେ ଏକ ଶିଶୁକନ୍ୟା ପ୍ରସବ କରିଥିଲା।,ତେବେ ସେ ସମୟରେ ସେ ଜଣେ ବ୍ୟକ୍ତିଙ୍କର କିଛି ସମୟ ଧରିଥିଲେ।
Students cannot read.,ଏହାଦ୍ୱାରା ଛାତ୍ରଛାତ୍ରୀଙ୍କ ପାଠପଢ଼ା ହୋଇପାରୁ ନାହିଁ।,ଛାତ୍ରଛାତ୍ରୀମାନେ ନ ଯିବାକୁ ନ ଯିବାକୁ ନ ଥିଲେ।
This time you are Chief Minister.,ଆପଣ ଏଥର ମୁଖ୍ୟମନ୍ତ୍ରୀ ହେବେ ବୋଲି ଶୁଣାଯାଉଛି।,ଏହା ସହ ମୁଖ୍ୟମନ୍ତ୍ରୀ ନବୀନ ପଟ୍ଟନାୟକ।
Cancer: Expenses mount.,କର୍କଟ: ଖର୍ଚ୍ଚ ବଢ଼ିବ।,ବୃଷ:
Banks money should come back to bank.,ବ୍ୟାଙ୍କକୁ ଫେରସ୍ତ କରିବାକୁ ପଡିବ ଟଙ୍କା,ବ୍ୟାଙ୍କକୁ ନେଇ ସରକାର ଆବଶ୍ୟକ ।
o National Sports University in Manipur has started offering courses.,ମଣିପୁରରେ ରାଷ୍ଟ୍ରୀୟ କ୍ରୀଡ଼ା ବିଶ୍ୱବିଦ୍ୟାଳୟ ପାଠ୍ୟକ୍ରମ ଆରମ୍ଭ କରିଛି ।,ଏହି ଅଭିଯାନ ଆରମ୍ଭ ହୋଇଛି ।
Is the government doing that?,ତେବେ ପ୍ରଶାସନ ଏହି ଦାୟିତ୍ୱ ପାଳନ କରୁଛି କି?,ସରକାର କ’ଣ କରୁଛନ୍ତି?
"However, the two brothers failed to do so.",ତେବେ ଦୁଇ ଭାଇ ଅଳ୍ପକେ ବର୍ତ୍ତି ଯାଇଥିଲେ ।,ତେବେ ଏହି ଦୁଇ ଜଣାଇବାକୁ ଉଦ୍ୟମ କରିଥିଲେ ।
The court cannot ignore it.,ଏହାକୁ କୋର୍ଟ ଛଡାଇ ନେଇପାରିବେ ନାହିଁ ।,କୋର୍ଟ ତାଙ୍କୁ କୋର୍ଟ ଚାଲାଣ କରାଯାଇ ପାରିବ ନାହିଁ।
"Later, the hotel manager was arrested.",ପରେ ହୋଟେଲର ମ୍ୟାନେଜର ଓ କର୍ମଚାରୀ ଅଟକ ରଖିଛନ୍ତି।,ପରେ ଏହି ଘଟଣା ପରେ ତାଙ୍କୁ ଗିରଫ କରାଯାଇଛି।
"If lion people tell lies, they do so to govern others and to attract others.",ସିଂହରାଶି ବ୍ୟକ୍ତି ଅନ୍ୟମାନଙ୍କ ଉପରେ ନିଜର ଶାସନ ଚଳାଇବା ଲାଗି ତଥା ଅନ୍ୟଙ୍କୁ ଆକର୍ଷିତ କରିବାକୁ ମିଛ କହିଥାନ୍ତି।,"ଯଦି କେହି ବିଖ ଜଣ ଲୋକ, ତେବେ ଲୋକମାନେ ଅନ୍ୟମାନେ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ"
